"Category Number","Category Name","Scenario Description","Columbo Response","Fraudster Response","Survivor Response","Protegé Response"
"1","Reaction Under Direct Accusation","When accused of wrongdoing","Plays confused while gathering intel.","Feigns outrage to flip the emotional script.","Panics politely and tries to make it right.","Acts wounded and confused, framing the accusation as a misunderstanding from someone he admires."
"2","When Cornered With Evidence","Presented with damning evidence","Pretends it's trivial, then asks the fatal question.","Claims evidence is fake or planted.","Bargains and tries to fix things.","Claims he misunderstood instructions, using confusion to avoid consequences."
"3","Extracting Information","When they need info from someone","Uses rambling stories to coax oversharing.","Uses sympathy or intimidation.","Uses flattery and desperation.","Asks endless 'learning' questions to justify intrusive curiosity."
"4","Exiting a Conversation","When they want to leave","Leaves then returns with the kill-shot question.","Leaves abruptly after planting a lie.","Won’t leave until he makes some sale.","Pretends to leave but returns repeatedly with 'one more training question.'"
"5","Messiness Called Out","When someone comments on their disorganization","Uses humility to disarm.","Deflects as 'creative chaos.'","Frames it as the cost of hustling.","Uses it to appear overwhelmed and harmless, lowering the target’s guard."
"6","Gaining Trust Quickly","When they need trust fast","Appears harmless and bumbling.","Mirrors emotions to manipulate.","Overshares personal struggles.","Acts like an eager student desperate for approval."
"7","Observing a Lie","Watching someone lie","Encourages liar to keep talking.","Learns structure to exploit later.","Adapts story to avoid trouble.","Pretends not to notice while memorizing details about the target."
"8","Stalling for Time","When they need to stall","Pretends to lose something.","Creates a fake emergency.","Launches into emotional anecdotes.","Asks repetitive 'clarifying' questions to prolong contact."
"9","Trying to Impress","When they want to look competent","Downplays intelligence.","Inflates achievements.","Shows off small wins.","Overperforms eagerness, praising the target excessively."
"10","True Self Alone","When no one is watching","Sharp and methodical.","Paranoid and calculating.","Exhausted and worried.","Obsessively studies the target’s habits and routines."
"11","Handling Success","After a win","Downplays it.","Becomes arrogant and sloppy.","Celebrates then worries again.","Uses success to justify deeper access to the target."
"12","Handling Failure","After a setback","Treats it as a clue.","Blames others and doubles down.","Panics then improvises.","Apologizes profusely while seeking reassurance from the target."
"13","Treating Allies","Toward allies","Respectful and patient.","Uses them as tools.","Loyal but unreliable.","Clings to them as extensions of the target’s world."
